ticker,axis,label,real_calmar,real_da,trades,synth_cal,train_auc,val_auc,status
QQQ,dollar,kmeans2stage,1.0965,20.8366,1619,0.0361,0.5,0.5,completed
QQQ,dollar,carry,1.0965,20.8366,1619,0.0361,0.5,0.5,completed
QQQ,dollar,always_long,1.0965,20.8366,1619,0.0361,0.5,0.5,completed
IWM,dollar,kmeans2stage,0.1324,22.4153,854,-0.1413,0.8851,0.8358,completed
IWM,dollar,carry,0.1324,22.4153,854,-0.1413,0.8851,0.8358,completed
IWM,dollar,always_long,0.1324,22.4153,854,-0.1413,0.8851,0.8358,completed
EEM,dollar,kmeans2stage,1.3279,4.3561,113,2.3067,0.6376,0.5928,completed
EEM,dollar,carry,1.3279,4.3561,113,2.3067,0.6376,0.5928,completed
EEM,dollar,always_long,1.3279,4.3561,113,2.3067,0.6376,0.5928,completed
XLE,dollar,kmeans2stage,0.7185,39.2673,866,0.613,0.5,0.5,completed
XLE,dollar,carry,0.7185,39.2673,866,0.613,0.5,0.5,completed
XLE,dollar,always_long,0.7185,39.2673,866,0.613,0.5,0.5,completed
HYG,dollar,kmeans2stage,1.2625,3.9955,1310,-0.1344,0.5,0.5,completed
HYG,dollar,carry,1.2625,3.9955,1310,-0.1344,0.5,0.5,completed
HYG,dollar,always_long,1.2625,3.9955,1310,-0.1344,0.5,0.5,completed
TLT,dollar,kmeans2stage,-0.1543,59.8899,1215,-0.2747,0.5,0.5,completed
TLT,dollar,carry,-0.1543,59.8899,1215,-0.2747,0.5,0.5,completed
TLT,dollar,always_long,-0.1543,59.8899,1215,-0.2747,0.5,0.5,completed
GLD,dollar,kmeans2stage,0.7792,10.417,541,1.3474,0.6385,0.6335,completed
GLD,dollar,carry,0.7792,10.417,541,1.3474,0.6385,0.6335,completed
GLD,dollar,always_long,0.7792,10.417,541,1.3474,0.6385,0.6335,completed
